"geo_accession","title","organism_ch1","group","source_name_ch1"
"GSM4041150","Healthy1_Cd45+","Homo sapiens","Healthy liver","Liver"
"GSM4041151","Healthy1_Cd45-A","Homo sapiens","Healthy liver","Liver"
"GSM4041152","Healthy1_Cd45-B","Homo sapiens","Healthy liver","Liver"
"GSM4041153","Healthy2_Cd45+","Homo sapiens","Healthy liver","Liver"
"GSM4041154","Healthy2_Cd45-","Homo sapiens","Healthy liver","Liver"
"GSM4041155","Healthy3_Cd45+","Homo sapiens","Healthy liver","Liver"
"GSM4041156","Healthy3_Cd45-A","Homo sapiens","Healthy liver","Liver"
"GSM4041157","Healthy3_Cd45-B","Homo sapiens","Healthy liver","Liver"
"GSM4041158","Healthy4_Cd45+","Homo sapiens","Healthy liver","Liver"
"GSM4041159","Healthy4_Cd45-","Homo sapiens","Healthy liver","Liver"
"GSM4041160","Healthy5_Cd45+","Homo sapiens","Healthy liver","Liver"
"GSM4041161","Cirrhotic1_Cd45+","Homo sapiens","Cirrhotic liver","Liver"
"GSM4041162","Cirrhotic1_Cd45-A","Homo sapiens","Cirrhotic liver","Liver"
"GSM4041163","Cirrhotic1_Cd45-B","Homo sapiens","Cirrhotic liver","Liver"
"GSM4041164","Cirrhotic2_Cd45+","Homo sapiens","Cirrhotic liver","Liver"
"GSM4041165","Cirrhotic2_CD45-","Homo sapiens","Cirrhotic liver","Liver"
"GSM4041166","Cirrhotic3_CD45+","Homo sapiens","Cirrhotic liver","Liver"
"GSM4041167","Cirrhotic3_Cd45-","Homo sapiens","Cirrhotic liver","Liver"
"GSM4041168","Cirrhotic4_Cd45+","Homo sapiens","Cirrhotic liver","Liver"
"GSM4041169","Cirrhotic5_Cd45+","Homo sapiens","Cirrhotic liver","Liver"
"GSM4041170","Blood1","Homo sapiens","PBMC (cirrhotic)","PBMC"
"GSM4041171","Blood2","Homo sapiens","PBMC (cirrhotic)","PBMC"
"GSM4041172","Blood3","Homo sapiens","PBMC (cirrhotic)","PBMC"
"GSM4041173","Blood4","Homo sapiens","PBMC (cirrhotic)","PBMC"
